soil,hzn,trat,method,rep,dp_mm,log10_dp,max_likeli,p2_5,p97_5
BJS,HZN1,REM,CLASSIC,A,0.01,-2,0,0,0
BJS,HZN1,REM,CLASSIC,A,0.0102476,-1.98938,3.27478e-6,1.97309e-6,5.00835e-6
BJS,HZN1,REM,CLASSIC,A,0.0105014,-1.97875,1.30917e-5,7.89749e-6,2.00045e-5
BJS,HZN1,REM,CLASSIC,A,0.0107614,-1.96813,2.94397e-5,1.77809e-5,4.49449e-5
BJS,HZN1,REM,CLASSIC,A,0.0110279,-1.95751,5.23075e-5,3.16309e-5,7.97863e-5
BJS,HZN1,REM,CLASSIC,A,0.011301,-1.94688,8.16841e-5,4.94552e-5,1.24485e-4
BJS,HZN1,REM,CLASSIC,A,0.0115808,-1.93626,1.17558e-4,7.12615e-5,1.78998e-4
BJS,HZN1,REM,CLASSIC,A,0.0118676,-1.92564,1.59919e-4,9.70575e-5,2.43282e-4
BJS,HZN1,REM,CLASSIC,A,0.0121615,-1.91501,2.08755e-4,1.26851e-4,3.17293e-4
BJS,HZN1,REM,CLASSIC,A,0.0124626,-1.90439,2.64056e-4,1.60649e-4,4.00987e-4
BJS,HZN1,REM,CLASSIC,A,0.0127712,-1.89377,3.25809e-4,1.9846e-4,4.94322e-4
BJS,HZN1,REM,CLASSIC,A,0.0130875,-1.88314,3.94005e-4,2.40291e-4,5.97254e-4
BJS,HZN1,REM,CLASSIC,A,0.0134116,-1.87252,4.68631e-4,2.86151e-4,7.0974e-4
BJS,HZN1,REM,CLASSIC,A,0.0137437,-1.8619,5.49677e-4,3.36046e-4,8.31736e-4
BJS,HZN1,REM,CLASSIC,A,0.014084,-1.85127,6.37132e-4,3.89984e-4,9.63198e-4
BJS,HZN1,REM,CLASSIC,A,0.0144328,-1.84065,7.30984e-4,4.47974e-4,0.00110408
BJS,HZN1,REM,CLASSIC,A,0.0147902,-1.83003,8.31223e-4,5.10022e-4,0.00125435
BJS,HZN1,REM,CLASSIC,A,0.0151564,-1.8194,9.37836e-4,5.76137e-4,0.00141395
BJS,HZN1,REM,CLASSIC,A,0.0155317,-1.80878,0.00105081,6.46325e-4,0.00158285
BJS,HZN1,REM,CLASSIC,A,0.0159163,-1.79816,0.00117015,7.20596e-4,0.00176099
BJS,HZN1,REM,CLASSIC,A,0.0163105,-1.78753,0.00129582,7.98955e-4,0.00194834
BJS,HZN1,REM,CLASSIC,A,0.0167143,-1.77691,0.00142782,8.81412e-4,0.00214486
BJS,HZN1,REM,CLASSIC,A,0.0171282,-1.76629,0.00156614,9.67974e-4,0.00235049
BJS,HZN1,REM,CLASSIC,A,0.0175524,-1.75566,0.00171078,0.00105865,0.0025652
BJS,HZN1,REM,CLASSIC,A,0.017987,-1.74504,0.0018617,0.00115344,0.00278894
BJS,HZN1,REM,CLASSIC,A,0.0184324,-1.73442,0.00201892,0.00125236,0.00302167
BJS,HZN1,REM,CLASSIC,A,0.0188889,-1.72379,0.00218241,0.00135542,0.00326335
BJS,HZN1,REM,CLASSIC,A,0.0193566,-1.71317,0.00235216,0.00146262,0.00351393
BJS,HZN1,REM,CLASSIC,A,0.0198359,-1.70255,0.00252817,0.00157397,0.00377336
BJS,HZN1,REM,CLASSIC,A,0.0203271,-1.69192,0.00271042,0.00168948,0.00404162
BJS,HZN1,REM,CLASSIC,A,0.0208305,-1.6813,0.0028989,0.00180916,0.00431864
BJS,HZN1,REM,CLASSIC,A,0.0213463,-1.67068,0.0030936,0.00193301,0.0046044
BJS,HZN1,REM,CLASSIC,A,0.0218749,-1.66005,0.0032945,0.00206104,0.00489883
BJS,HZN1,REM,CLASSIC,A,0.0224166,-1.64943,0.00350161,0.00219326,0.00520191
BJS,HZN1,REM,CLASSIC,A,0.0229717,-1.63881,0.0037149,0.00232968,0.00551359
BJS,HZN1,REM,CLASSIC,A,0.0235405,-1.62818,0.00393436,0.0024703,0.00583383
BJS,HZN1,REM,CLASSIC,A,0.0241234,-1.61756,0.00415999,0.00261513,0.00616257
BJS,HZN1,REM,CLASSIC,A,0.0247208,-1.60694,0.00439177,0.00276418,0.00649979
BJS,HZN1,REM,CLASSIC,A,0.0253329,-1.59631,0.00462969,0.00291747,0.00684542
BJS,HZN1,REM,CLASSIC,A,0.0259603,-1.58569,0.00487375,0.00307498,0.00719944
BJS,HZN1,REM,CLASSIC,A,0.0266031,-1.57507,0.00512392,0.00323674,0.0075618
BJS,HZN1,REM,CLASSIC,A,0.0272619,-1.56444,0.0053802,0.00340275,0.00793245
BJS,HZN1,REM,CLASSIC,A,0.0279369,-1.55382,0.00564258,0.00357302,0.00831135
BJS,HZN1,REM,CLASSIC,A,0.0286287,-1.5432,0.00591104,0.00374755,0.00869846
BJS,HZN1,REM,CLASSIC,A,0.0293377,-1.53257,0.00618558,0.00392636,0.00909374
BJS,HZN1,REM,CLASSIC,A,0.0300641,-1.52195,0.00646618,0.00410945,0.00949713
BJS,HZN1,REM,CLASSIC,A,0.0308086,-1.51133,0.00675284,0.00429682,0.0099086
BJS,HZN1,REM,CLASSIC,A,0.0315715,-1.5007,0.00704553,0.0044885,0.0103281
BJS,HZN1,REM,CLASSIC,A,0.0323533,-1.49008,0.00734426,0.00468448,0.0107556
BJS,HZN1,REM,CLASSIC,A,0.0331545,-1.47946,0.007649,0.00488477,0.011191
BJS,HZN1,REM,CLASSIC,A,0.0339755,-1.46883,0.00795976,0.00508938,0.0116344
BJS,HZN1,REM,CLASSIC,A,0.0348168,-1.45821,0.00827651,0.00529831,0.0120856
BJS,HZN1,REM,CLASSIC,A,0.0356789,-1.44759,0.00859924,0.00551158,0.0125446
BJS,HZN1,REM,CLASSIC,A,0.0365624,-1.43696,0.00892795,0.0057292,0.0130114
BJS,HZN1,REM,CLASSIC,A,0.0374678,-1.42634,0.00926263,0.00595116,0.013486
BJS,HZN1,REM,CLASSIC,A,0.0383956,-1.41572,0.00960325,0.00617749,0.0139682
BJS,HZN1,REM,CLASSIC,A,0.0393464,-1.40509,0.00994982,0.00640817,0.014458
BJS,HZN1,REM,CLASSIC,A,0.0403207,-1.39447,0.0103023,0.00664324,0.0149555
BJS,HZN1,REM,CLASSIC,A,0.0413192,-1.38385,0.0106607,0.00688268,0.0154605
BJS,HZN1,REM,CLASSIC,A,0.0423424,-1.37322,0.0110251,0.00712651,0.015973
BJS,HZN1,REM,CLASSIC,A,0.0433909,-1.3626,0.0113953,0.00737474,0.016493
BJS,HZN1,REM,CLASSIC,A,0.0444653,-1.35198,0.0117714,0.00762737,0.0170204
BJS,HZN1,REM,CLASSIC,A,0.0455664,-1.34135,0.0121534,0.00788441,0.0175552
BJS,HZN1,REM,CLASSIC,A,0.0466948,-1.33073,0.0125412,0.00814587,0.0180974
BJS,HZN1,REM,CLASSIC,A,0.0478511,-1.32011,0.0129349,0.00841176,0.0186468
BJS,HZN1,REM,CLASSIC,A,0.049036,-1.30949,0.0133344,0.00868209,0.0192035
BJS,HZN1,REM,CLASSIC,A,0.0502502,-1.29886,0.0137398,0.00895685,0.0197674
BJS,HZN1,REM,CLASSIC,A,0.0514946,-1.28824,0.014151,0.00923607,0.0203385
BJS,HZN1,REM,CLASSIC,A,0.0527697,-1.27762,0.014568,0.00951974,0.0209167
BJS,HZN1,REM,CLASSIC,A,0.0540764,-1.26699,0.0149908,0.00980788,0.0215019
BJS,HZN1,REM,CLASSIC,A,0.0554155,-1.25637,0.0154194,0.0101005,0.0220942
BJS,HZN1,REM,CLASSIC,A,0.0567878,-1.24575,0.0158537,0.0103976,0.0226935
BJS,HZN1,REM,CLASSIC,A,0.058194,-1.23512,0.0162938,0.0106992,0.0232998
BJS,HZN1,REM,CLASSIC,A,0.059635,-1.2245,0.0167397,0.0110052,0.0239129
BJS,HZN1,REM,CLASSIC,A,0.0611117,-1.21388,0.0171913,0.0113158,0.0245329
BJS,HZN1,REM,CLASSIC,A,0.062625,-1.20325,0.0176486,0.0116309,0.0251597
BJS,HZN1,REM,CLASSIC,A,0.0641758,-1.19263,0.0181117,0.0119505,0.0257933
BJS,HZN1,REM,CLASSIC,A,0.065765,-1.18201,0.0185804,0.0122747,0.0264337
BJS,HZN1,REM,CLASSIC,A,0.0673935,-1.17138,0.0190549,0.0126033,0.0270807
BJS,HZN1,REM,CLASSIC,A,0.0690623,-1.16076,0.0195351,0.0129366,0.0277344
BJS,HZN1,REM,CLASSIC,A,0.0707725,-1.15014,0.0200209,0.0132743,0.0283946
BJS,HZN1,REM,CLASSIC,A,0.072525,-1.13951,0.0205124,0.0136166,0.0290615
BJS,HZN1,REM,CLASSIC,A,0.0743209,-1.12889,0.0210095,0.0139635,0.0297348
BJS,HZN1,REM,CLASSIC,A,0.0761613,-1.11827,0.0215123,0.014315,0.0304146
