soil,hzn,trat,method,rep,runtime_s,pressure_pa,fit_pa,temperature_c
BJS,HZN1,REM,CLASSIC,A,20,1832.131,1831.374,20.543
BJS,HZN1,REM,CLASSIC,A,30,1829.55,1829.844,20.509
BJS,HZN1,REM,CLASSIC,A,40,1827.903,1828.479,20.486
BJS,HZN1,REM,CLASSIC,A,50,1826.673,1827.214,20.468
BJS,HZN1,REM,CLASSIC,A,60,1825.692,1826.055,20.454
BJS,HZN1,REM,CLASSIC,A,70,1824.75,1825.033,20.442
BJS,HZN1,REM,CLASSIC,A,80,1824.075,1824.15,20.432
BJS,HZN1,REM,CLASSIC,A,90,1823.378,1823.391,20.424
BJS,HZN1,REM,CLASSIC,A,100,1822.877,1822.736,20.417
BJS,HZN1,REM,CLASSIC,A,110,1822.348,1822.168,20.412
BJS,HZN1,REM,CLASSIC,A,120,1821.851,1821.67,20.408
BJS,HZN1,REM,CLASSIC,A,130,1821.435,1821.23,20.405
BJS,HZN1,REM,CLASSIC,A,140,1821.03,1820.835,20.403
BJS,HZN1,REM,CLASSIC,A,150,1820.646,1820.477,20.401
BJS,HZN1,REM,CLASSIC,A,160,1820.333,1820.148,20.399
BJS,HZN1,REM,CLASSIC,A,170,1820.019,1819.843,20.399
BJS,HZN1,REM,CLASSIC,A,180,1819.676,1819.557,20.398
BJS,HZN1,REM,CLASSIC,A,190,1819.384,1819.289,20.397
BJS,HZN1,REM,CLASSIC,A,200,1819.141,1819.037,20.397
BJS,HZN1,REM,CLASSIC,A,210,1818.84,1818.798,20.396
BJS,HZN1,REM,CLASSIC,A,220,1818.626,1818.57,20.397
BJS,HZN1,REM,CLASSIC,A,230,1818.434,1818.354,20.397
BJS,HZN1,REM,CLASSIC,A,240,1818.212,1818.148,20.397
BJS,HZN1,REM,CLASSIC,A,250,1817.981,1817.95,20.397
BJS,HZN1,REM,CLASSIC,A,260,1817.789,1817.761,20.397
BJS,HZN1,REM,CLASSIC,A,270,1817.578,1817.579,20.397
BJS,HZN1,REM,CLASSIC,A,280,1817.426,1817.404,20.398
BJS,HZN1,REM,CLASSIC,A,290,1817.255,1817.235,20.398
BJS,HZN1,REM,CLASSIC,A,300,1817.044,1817.072,20.398
BJS,HZN1,REM,CLASSIC,A,310,1816.861,1816.915,20.399
BJS,HZN1,REM,CLASSIC,A,320,1816.711,1816.762,20.399
BJS,HZN1,REM,CLASSIC,A,330,1816.59,1816.615,20.399
BJS,HZN1,REM,CLASSIC,A,340,1816.428,1816.472,20.4
BJS,HZN1,REM,CLASSIC,A,350,1816.266,1816.333,20.401
BJS,HZN1,REM,CLASSIC,A,360,1816.105,1816.198,20.401
BJS,HZN1,REM,CLASSIC,A,370,1815.994,1816.067,20.402
BJS,HZN1,REM,CLASSIC,A,390,1815.721,1815.816,20.403
BJS,HZN1,REM,CLASSIC,A,410,1815.489,1815.577,20.404
BJS,HZN1,REM,CLASSIC,A,430,1815.277,1815.35,20.405
BJS,HZN1,REM,CLASSIC,A,450,1815.065,1815.134,20.406
BJS,HZN1,REM,CLASSIC,A,470,1814.873,1814.928,20.407
BJS,HZN1,REM,CLASSIC,A,490,1814.661,1814.73,20.408
BJS,HZN1,REM,CLASSIC,A,510,1814.46,1814.542,20.409
BJS,HZN1,REM,CLASSIC,A,530,1814.328,1814.361,20.41
BJS,HZN1,REM,CLASSIC,A,550,1814.146,1814.187,20.411
BJS,HZN1,REM,CLASSIC,A,580,1813.893,1813.94,20.413
BJS,HZN1,REM,CLASSIC,A,610,1813.651,1813.706,20.414
BJS,HZN1,REM,CLASSIC,A,640,1813.48,1813.485,20.415
BJS,HZN1,REM,CLASSIC,A,680,1813.177,1813.208,20.417
BJS,HZN1,REM,CLASSIC,A,710,1813.016,1813.012,20.417
BJS,HZN1,REM,CLASSIC,A,750,1812.785,1812.765,20.418
BJS,HZN1,REM,CLASSIC,A,790,1812.533,1812.533,20.419
BJS,HZN1,REM,CLASSIC,A,830,1812.313,1812.315,20.419
BJS,HZN1,REM,CLASSIC,A,880,1812.081,1812.059,20.42
BJS,HZN1,REM,CLASSIC,A,920,1811.871,1811.866,20.42
BJS,HZN1,REM,CLASSIC,A,970,1811.67,1811.638,20.421
BJS,HZN1,REM,CLASSIC,A,1020,1811.49,1811.425,20.421
BJS,HZN1,REM,CLASSIC,A,1070,1811.279,1811.223,20.421
BJS,HZN1,REM,CLASSIC,A,1130,1811.058,1810.996,20.422
BJS,HZN1,REM,CLASSIC,A,1180,1810.866,1810.818,20.423
BJS,HZN1,REM,CLASSIC,A,1240,1810.632,1810.616,20.426
BJS,HZN1,REM,CLASSIC,A,1310,1810.457,1810.394,20.43
BJS,HZN1,REM,CLASSIC,A,1380,1810.239,1810.186,20.436
BJS,HZN1,REM,CLASSIC,A,1450,1810.01,1809.991,20.443
BJS,HZN1,REM,CLASSIC,A,1520,1809.851,1809.806,20.45
BJS,HZN1,REM,CLASSIC,A,1600,1809.63,1809.607,20.458
BJS,HZN1,REM,CLASSIC,A,1680,1809.432,1809.42,20.464
BJS,HZN1,REM,CLASSIC,A,1770,1809.225,1809.221,20.47
BJS,HZN1,REM,CLASSIC,A,1860,1809.039,1809.033,20.474
BJS,HZN1,REM,CLASSIC,A,1950,1808.815,1808.856,20.477
BJS,HZN1,REM,CLASSIC,A,2050,1808.683,1808.671,20.479
BJS,HZN1,REM,CLASSIC,A,2150,1808.471,1808.495,20.48
BJS,HZN1,REM,CLASSIC,A,2260,1808.321,1808.313,20.48
BJS,HZN1,REM,CLASSIC,A,2380,1808.132,1808.126,20.479
BJS,HZN1,REM,CLASSIC,A,2500,1807.945,1807.949,20.477
