soil,hzn,trat,method,rep,min_mm,max_mm,value_percent,cum_value,weight,psd_sand
BJS,HZN1,REM,CLASSIC,A,1000,2000,0.27,0.9973,1,VC
BJS,HZN1,REM,CLASSIC,A,500,1000,1.02,0.9871,1,C
BJS,HZN1,REM,CLASSIC,A,250,500,6.98,0.92,1,M
BJS,HZN1,REM,CLASSIC,A,100,250,15.08,0.7794,1,F
BJS,HZN1,REM,CLASSIC,A,50,100,6.73,0.7819,1,VF
BJS,HZN1,SINREM,CLASSIC,A,1000,2000,1.27,0.9873,1,VC
BJS,HZN1,SINREM,CLASSIC,A,500,1000,2.56,0.9617,1,C
BJS,HZN1,SINREM,CLASSIC,A,250,500,13.63,0.8254,1,M
BJS,HZN1,SINREM,CLASSIC,A,100,250,14.14,0.684,1,F
BJS,HZN1,SINREM,CLASSIC,A,50,100,1.59,0.6681,1,VF
BJS,HZN1,SINREM,CLASSIC,B,1000,2000,0.29,0.9971,1,VC
BJS,HZN1,SINREM,CLASSIC,B,500,1000,0.87,0.9884,1,C
BJS,HZN1,SINREM,CLASSIC,B,250,500,6.24,0.9289,1,M
BJS,HZN1,SINREM,CLASSIC,B,100,250,13.05,0.8071,1,F
BJS,HZN1,SINREM,CLASSIC,B,50,100,9.06,0.7789,1,VF
BJS,HZN1,SINREM,PLUS,A,1000,2000,0.8,0.992,1,VC
BJS,HZN1,SINREM,PLUS,A,500,1000,2.49,0.9671,1,C
BJS,HZN1,SINREM,PLUS,A,250,500,8.9,0.8781,1,M
BJS,HZN1,SINREM,PLUS,A,100,250,16.26,0.7155,1,F
BJS,HZN1,SINREM,PLUS,A,50,100,3.7,0.6785,1,VF
